quickFlowerWeight,wins,losses,draws,win_rate
0,6,14,0,0.3000
10,8,12,0,0.4000
20,12,8,0,0.6000
30,12,8,0,0.6000
40,9,11,0,0.4500
50,9,11,0,0.4500
60,9,11,0,0.4500
70,11,9,0,0.5500
80,11,9,0,0.5500
90,13,7,0,0.6500
100,12,8,0,0.6000
